objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,genre,date_published,date_description,publisher,licensing,musical,adaptation,adaptation_of,description,colocated,notes,format
1,15 Minutes of YouTube Fame,"McWethy, Ian",12-18,1,0,2,3,FALSE,3,Comedy,2020,,Stage Partners,TRUE,FALSE,FALSE,,The one where a kid falls on his butt and becomes a viral video a la Charlie Bit My Finger. A biting satire that explores the bizarre world of being a celebrity in the Internet age.,,,
2,"20,000 Leagues Under the Sea","Suranna, Keith",06-18,3,1,2,6,,31,Science Fiction,1997,,Little Golden Books,TRUE,FALSE,TRUE,"20,000 Leagues Under the Sea","Based on Jules Verne's novel 20,000 Leagues Under the Sea",,,
3,Abu Nuwas: Two Tales from Baghdad,"Winther, Barbara",06-12,3,2,2,7,TRUE,10,Folktales,1976,,"Plays, Inc.",FALSE,FALSE,TRUE,Adapted from some of the stories of 1001 Arabian Nights.,"In the first story, Abu Nuwas, a Persian poet who lived in Baghdad in the 700s CE, solves a dispute involving stolen shoes. In the second story, he tricks a man who lent him a defective cooking pot.",,,
4,Adaptation,"May, Elaine",10-18,3,1,0,4,,25,Science Fiction,1971,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,A contest in which the contestant advances or is sent back through the seven ages of man.,,,
5,"Adventures of Ruth Harrison, Reference Librarian, The","Keillor, Garrison",16-18,4,2,0,6,TRUE,10,Comedy,2006,,Minnesota Public Radio,TRUE,FALSE,FALSE,,"A day in the life of a reference librarian. Fighting against e-books, corporate takeovers of the library, and teenage hook-ups (with a bit of romance on the side).",,"Annotation says it was ""Adapted from A Prairie Home Companion scripts by me, Gene"".",
6,Aesop's Fables,"Bartlett, Dave",04-12,0,0,11,11,,46,Folktales,1979,,Open Source,FALSE,FALSE,TRUE,Adapted from Aesop's Fables.,"Multiple versions. A collection of fables credited to Aesop, a slave and storyteller who lived in ancient Greece between 620 and 564 BCE.",,Extremely similar to the Anne Glasner version. Can add additional actors; this play is told as a series of fables with a common narrator. Small cast version is included.,
7,After Magritte,"Stoppard, Tom",08-18,3,2,0,5,,24,Mystery,1971,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"Harris, his mother and his wife are a kooky trio. Enter the forceful inspector from Scotland Yard with his constable - which is strange, notes the wife, for she had ordered an ambulance. The officers proceed to place the three under arrest.",,,
512,Ah Wing Fu and the Golden Dragon,",",,,,,0,,,,,,,,,,,,,,
8,Aida (Scenes),"Verdi, Giuseppe",10-18,4,2,2,8,,9,Drama,1871,,Open Source,FALSE,TRUE,FALSE,,"The Egyptians have captured and enslaved Aida, an Ethiopian princess. An Egyptian military commander, Radamès, struggles to choose between his love for her and his loyalty to the King of Egypt. To complicate the story further, the King's daughter Amneris is in love with Radamès, although he does not return her feelings.",,"Contains scenes from Aida: School Edition. 2 copies of Scenes 2 and 4, 3 copies of Scene 5, and 6 copies of Scene 6.",
9,Aladdin McFaddin,"Denson, Wil",06-12,4,6,0,10,TRUE,41,Comedy,1977,,Dramatic Publishing,TRUE,TRUE,TRUE,Adapted from The Arabian Nights.,"The sultan's beautiful daughter, Bessie Mae Moocho, loves an honest young fellow named Aladdin McFaddin, but he's a dreamer and therefore very poor. So the sultan chooses a filthy rich Oklahoma oil magnate to marry her. Aladdin finds a dirty old lamp and rubs some of the grime off—and a genie appears. He's a lovable genie, but he's deaf from all the ka-booms when he's released. Nevertheless, he and Aladdin have a grand old time thwarting the sultan's greedy plan.",,,
10,Alice: Through the Looking Glass and Other Adventures,"Stephens, Jeffryn",06-18,1,4,26,31,,54,Fantasy,1984,,YPPC,FALSE,TRUE,TRUE,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,Adapted from Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll.,,There are probably 8 copies of this play. Some of the copies are alternate versions. There are multiple roles in this that are not gender specific. Many of these roles can doubled.,
11,All the Wealth One Needs,"Leonard, Joann",04-12,2,1,13,16,TRUE,12,Folktales,,Unknown,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adapted from 1001 Arabian Nights.,"Based on A Thousand and One Arabian Nights, this story within a story tells how a young woman's courage and intelligence saves the day.",,,
12,All the World's a Stage,"Wilson, Henry David",10-18,13,7,0,20,TRUE,12,Drama,1968,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The children assemble on the stage and are given neither script nor plot. The parts chosen include a nurse, a shop assistant, a mother, a policeman, a politician and a rich man. The Producer's instructions are explained but fighting breaks out. The Producer's son tries to persuade everyone to play a better part. He is killed but returns to give his advice.",,,
13,Anansi and the First Talking Drum,"Stephens, Jeffryn",04-08,2,0,6,8,TRUE,5,Folktales,1985,,YPPC,FALSE,FALSE,TRUE,Adapted from Anansi and the Magic Drum,"This is the story of Anansi, the cunning spider, and a magical drum that spoke the language of the cosmos.",,Co-located in CAPS Learning Packet curriculum.,
14,Anansi and the Sky-God Stories,"Stephens, Jeffryn",04-08,1,1,9,11,TRUE,8,Folktales,1985,,YPPC,FALSE,FALSE,TRUE,Adapted from All Stories are Anansi's (A Tale from West Africa),"Anansi (/ah*nahn*see/) the Spider is a popular figure in the folklore of parts of West Africa. Anansi is a “trickster” figure—clever, cunning, sometimes mischievous—who uses his wits to make up for what he lacks in size and strength. This story tells how Anansi became the “owner” of all stories",,Co-located in CAPS Learning Packet curriculum. Might be a copy of Barbara Winther's,
15,Anastasia - Recognition Scene,"Maurette, Marcelle",10-18,0,2,1,3,,8,Fantasy,1952,,"Samuel French, Inc.",TRUE,FALSE,FALSE,,"Anastasia is recognized by the dowager Tsarina, her grandmother.",,One scene from act II of Anastasia. English adaptation by Guy Bolton.,
16,And Then There Were None (Formerly Ten Little Indians),"Christie, Agatha",12-18,8,3,0,11,FALSE,73,Mystery,1943,,"Samuel French, Inc.",TRUE,FALSE,TRUE,Adaptation of the novel by the same author.,"Ten strangers are summoned to a remote island. All that the guests have in common is a wicked past they’re unwilling to reveal and a secret that will seal their fate… for each has been marked for murder. As the weather turns and the group is cut off from the mainland, the bloodbath begins; one by one, they are brutally murdered in accordance with the lines of a sinister nursery rhyme about “Ten Little Soldier Boys.”",,,
17,Andre's/Andrea's Hat,"Stephens, Jeffryn",04-10,1,5,3,9,FALSE,6,Folktales,1984,,YPPC,FALSE,FALSE,FALSE,,Andrea's Cap is a story about a girl who rejects all kinds of gifts in favor of keeping the cap her mother made her.,,,
18,"Angel Street, scene (adapted into the film Gaslight)","Hamilton, Patrick",14-18,1,2,0,3,FALSE,8,Scene,1938,,Concord Theatricals,TRUE,FALSE,FALSE,,"Angel Street tells the story of the Manninghams, who live on Angel Street in 19th-century London. As the curtain rises, all appears to be the essence of Victorian tranquility. It is soon apparent, however, that Mr. Manningham, a suavely handsome man, is slowly driving his gentle, devoted wife, Bella, to the brink of insanity with an insinuating kindness that masks more sinister motives. While he is out, Mrs. Manningham has an unexpected caller: amiable, paternal Inspector Rough from Scotland Yard. Rough is convinced that Mr. Manningham is a homicidal maniac wanted for a murder committed 15 years earlier in this very house. Gradually, the inspector restores Bella’s confidence in herself and, as the evidence against Manningham unfolds, the author has built and sustained some of the most brilliant, suspenseful sequences in modern theatre.","Co-located in ""Scenes"" folder","Scene between Mr. and Mrs. Manningham, where he is trying to convince her that she moved a picture.",
19,Anne of Green Gables,"Robinette, Joseph",04-18,9,19,3,31,TRUE,84,Drama,1989,,The Dramatic Publishing Company,TRUE,FALSE,TRUE,Anne of Green Gables by LM Montgomery,An orphan girl is adopted by a pair of siblings.,,,
20,Antigone,"Sophocles,",14-18,6,3,0,9,TRUE,53,Tragedy,,442 BCE,Unknown,FALSE,FALSE,FALSE,,"Antigone is one of the plays of a trilogy written by Sophocles called the Theban plays. Antigone was not only daughter to Oedipus but also his sister. Oedipus unknowingly married his mother, which makes Jocasta, Antigone’s mother and grandmother at the same time. This is a tragedy play about Antigone disobeying the King’s law by burying her brother, Polynices. In the play Creon (King) promises death to whoever buried Polynices when he finds out who it is. In Antigone 3, Creon starts interrogating Antigone when he was told she was the one responsible. Antigone denied nothing, she buried her brother proudly and unafraid of the consequences. In Antigone 5, Creon sends Antigone to her death because of her actions. Antigone was also Haemon’s fiance, Creon’s son. There was news that Haemon decided to kill himself and die beside Antigone; because of this Creon tried to take back his actions, but it was too late. Antigone was dead when he reached her and Haemon then kills himself. Haemon’s mother finds out he killed himself and took her own life as well. The tragedy of the play is that Creon lost so many people all because he was stubborn enough to kill a girl for burying her brother. He was selfish and used his power for evil.",,,
21,"Apple of Discord and the Trojan War, The","Stephens, Jeff",06-12,14,14,10,38,TRUE,18,Mythology,,Unknown,Unknown,TRUE,FALSE,TRUE,Adaptation of the myth about the apple of discord.,"In Greek mythology, the Apple of Discord (Ancient Greek: μῆλον τῆς Ἔριδος) was a golden apple dropped by Eris, the goddess of strife, at the wedding of Peleus and Thetis. It sparked a vanity-fueled dispute among Hera, Athena, and Aphrodite that led to the Judgement of Paris and ultimately the Trojan War.[1]",,,
22,"Apple Tree, The","Bock, Jerry",10-18,3,4,3,10,,87,Comedy,1966,,Music Theater International,TRUE,FALSE,TRUE,,Love blossoms in these three comedic vignettes exploring the relationship between men and women.,,This might be The Diary of Adam and Eve or it might be,
23,Appointment with Death,"Christie, Agatha",10-18,9,7,0,16,FALSE,79,Mystery,1945,,Concord Theatricals,TRUE,FALSE,TRUE,Appointment with Death by Agatha Christie,"An assorted group of travellers find themselves thrown together on an expedition to the rose red city of Petra. At the centre of the group are Mrs. Boynton and her four stepchildren who never leave her side. This apparent devotion however is actually a façade for something far more sinister. Sarah King, a young English doctor, and her colleague, the eminent psychologist, Dr. Theodore Gerard, find themselves embroiled in a battle to free the children from the sadistic grasp of a tyrannical woman. This chilling play offers a unique take on the classic murder mystery, where Christie explores the realms of the sadistic mind and the devastating effects of long term psychological abuse.",,,
24,April Fish,"Pezzulo, Ted",10-18,6,5,0,11,,27,Comedy,1975,,Dramatists Play Service Inc.,TRUE,FALSE,FALSE,,"The scene is in a tenement in New York’s “Little Italy,” the home of the family of Assunta and Fortunato. It so happens that there is an enormous hole in their bathroom wall, and Assunta has summoned the detested Pietro (an excellent plasterer) to fix it—but Fortunato has just spent all of the family’s money on a magnificent gold tooth. The answer: “April Fish” —a traditional bit of Italian trickery in which the word is passed that Fortunato has died, and he is suitably laid out, amidst mourners and candles, when Pietro arrives. Certainly, in such a situation, no one would be so heartless to speak of money! Unfortunately the ruse fails to work quite as well as hoped, and what with the rising hubbub of assembled neighbors and friends, the situation grows increasingly frantic—and hilarious—until the good Padre Peggio arrives to set matters right and give the perpetrators their comeuppance.",,,
